,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,daily,daily_lower,daily_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat,country
0,2017-11-01,180.74266645653728,-938.5129255765975,1489.8649188712363,180.74266645653728,180.74266645653728,-0.22072571226256912,-0.22072571226256912,-0.22072571226256912,0.6280557996347993,0.6280557996347993,0.6280557996347993,0.010007345376394916,0.010007345376394916,0.010007345376394916,0.8387741665209736,0.8387741665209736,0.8387741665209736,0.0,0.0,0.0,294.25914636602363,eire
1,2017-11-02,181.19760324504256,-780.9861752122264,1516.7293693375204,181.19760324504256,181.19760324504256,-0.22072571226256912,-0.22072571226256912,-0.22072571226256912,0.9194486772983724,0.9194486772983724,0.9194486772983724,0.39682914725237184,0.39682914725237184,0.39682914725237184,0.7433452423085698,0.7433452423085698,0.7433452423085698,0.0,0.0,0.0,347.79949987833226,eire
2,2017-11-03,181.65254003354787,-800.5183926421031,1512.3389517092926,181.65254003354787,181.65254003354787,-0.22072571226256912,-0.22072571226256912,-0.22072571226256912,0.8652357249486803,0.8652357249486803,0.8652357249486803,0.44443887420670186,0.44443887420670186,0.44443887420670186,0.6415225630045476,0.6415225630045476,0.6415225630045476,0.0,0.0,0.0,338.82480719824383,eire
3,2017-11-04,182.10747682205314,-1093.488280468033,1202.1122438536058,182.10747682205314,182.10747682205314,-0.22072571226256912,-0.22072571226256912,-0.22072571226256912,-0.45143111869032254,-0.45143111869032254,-0.45143111869032254,-0.7650519507094111,-0.7650519507094111,-0.7650519507094111,0.5343465442816577,0.5343465442816577,0.5343465442816577,0.0,0.0,0.0,99.8984948384017,eire
4,2017-11-05,182.56241361055842,-1017.4045624044996,1289.2634000152104,182.56241361055842,182.56241361055842,-0.22072571226256912,-0.22072571226256912,-0.22072571226256912,-0.3332633485537019,-0.3332633485537019,-0.3332633485537019,-0.5355664810452732,-0.5355664810452732,-0.5355664810452732,0.4230288447541405,0.4230288447541405,0.4230288447541405,0.0,0.0,0.0,121.7210523306578,eire
5,2017-11-06,183.01735039906367,-977.8099028433272,1371.314558180659,183.01735039906367,183.01735039906367,-0.22072571226256912,-0.22072571226256912,-0.22072571226256912,0.4128867734901673,0.4128867734901673,0.4128867734901673,0.3246818378544897,0.3246818378544897,0.3246818378544897,0.30893064789824676,0.30893064789824676,0.30893064789824676,0.0,0.0,0.0,258.58279369805246,eire
6,2017-11-07,183.47228718756895,-879.921600713877,1410.2548193340365,183.47228718756895,183.47228718756895,-0.22072571226256912,-0.22072571226256912,-0.22072571226256912,0.09747168223576,0.09747168223576,0.09747168223576,0.12466122706804886,0.12466122706804886,0.12466122706804886,0.19353616743028024,0.19353616743028024,0.19353616743028024,0.0,0.0,0.0,201.35563966338376,eire
7,2017-11-08,183.92722397607426,-1074.313752000626,1275.8614259368605,183.92722397607426,183.92722397607426,-0.22072571226256912,-0.22072571226256912,-0.22072571226256912,-0.13229640216077337,-0.13229640216077337,-0.13229640216077337,0.010007345376680868,0.010007345376680868,0.010007345376680868,0.07842196472511488,0.07842196472511488,0.07842196472511488,0.0,0.0,0.0,159.5943139846209,eire
8,2017-11-09,184.38216076457954,-853.5072060380649,1429.126714273886,184.38216076457954,184.38216076457954,-0.22072571226256912,-0.22072571226256912,-0.22072571226256912,0.1413262306566588,0.1413262306566588,0.1413262306566588,0.3968291472517619,0.3968291472517619,0.3968291472517619,-0.03477720433253399,-0.03477720433253399,-0.03477720433253399,0.0,0.0,0.0,210.44019654576763,eire
9,2017-11-10,184.83709755308482,-1011.9477695904179,1421.091907089102,184.83709755308482,184.83709755308482,-0.22072571226256912,-0.22072571226256912,-0.22072571226256912,0.0793079776060174,0.0793079776060174,0.0793079776060174,0.44443887420623773,0.44443887420623773,0.44443887420623773,-0.1444051843376512,-0.1444051843376512,-0.1444051843376512,0.0,0.0,0.0,199.49615394658613,eire
