,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,daily,daily_lower,daily_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat,country
0,2017-12-01,-58.793912305251254,-2757.7645869116136,2209.8387160375974,-58.793912305251254,-58.793912305251254,-0.43488287646701024,-0.43488287646701024,-0.43488287646701024,1.9751814929163076,1.9751814929163076,1.9751814929163076,2.6873494788408636,2.6873494788408636,2.6873494788408636,-0.2772851094575457,-0.2772851094575457,-0.2772851094575457,0.0,0.0,0.0,-174.9225597867279,norway
1,2017-12-02,-55.07285672259575,-2510.22245095102,2497.8089027419956,-55.07285672259575,-55.07285672259575,-0.43488287646701024,-0.43488287646701024,-0.43488287646701024,-1.299479093750096,-1.299479093750096,-1.299479093750096,-0.45515350114830416,-0.45515350114830416,-0.45515350114830416,-0.4094427161347816,-0.4094427161347816,-0.4094427161347816,0.0,0.0,0.0,16.493169221511856,norway
2,2017-12-03,-51.35180113994025,-2801.0414925894165,2559.4458361076618,-51.35180113994025,-51.35180113994025,-0.43488287646701024,-0.43488287646701024,-0.43488287646701024,-1.4293575378849699,-1.4293575378849699,-1.4293575378849699,-0.45329391737341085,-0.45329391737341085,-0.45329391737341085,-0.541180744044549,-0.541180744044549,-0.541180744044549,0.0,0.0,0.0,22.048282903403337,norway
3,2017-12-04,-47.63074555728475,-2671.89786987596,2607.7868587360167,-47.63074555728475,-47.63074555728475,-0.43488287646701024,-0.43488287646701024,-0.43488287646701024,-1.5493966182008174,-1.5493966182008174,-1.5493966182008174,-0.44544315549863917,-0.44544315549863917,-0.44544315549863917,-0.6690705862351681,-0.6690705862351681,-0.6690705862351681,0.0,0.0,0.0,26.168170531555848,norway
4,2017-12-05,-43.90968997462925,-2800.445470439847,2468.677981841608,-43.90968997462925,-43.90968997462925,-0.43488287646701024,-0.43488287646701024,-0.43488287646701024,-1.6701080217669826,-1.6701080217669826,-1.6701080217669826,-0.4454710351173369,-0.4454710351173369,-0.4454710351173369,-0.7897541101826357,-0.7897541101826357,-0.7897541101826357,0.0,0.0,0.0,29.424235485300315,norway
5,2017-12-06,-40.18863439197375,-2534.578639435521,2498.8933131717054,-40.18863439197375,-40.18863439197375,-0.43488287646701024,-0.43488287646701024,-0.43488287646701024,-1.78067524899237,-1.78067524899237,-1.78067524899237,-0.4457460925356126,-0.4457460925356126,-0.4457460925356126,-0.9000462799897476,-0.9000462799897476,-0.9000462799897476,0.0,0.0,0.0,31.374272160617434,norway
6,2017-12-07,-36.46757880931825,-2686.183815627217,2618.5939418964817,-36.46757880931825,-36.46757880931825,-0.43488287646701024,-0.43488287646701024,-0.43488287646701024,-1.8741584337717343,-1.8741584337717343,-1.8741584337717343,-0.4422417771796344,-0.4422417771796344,-0.4422417771796344,-0.9970337801250899,-0.9970337801250899,-0.9970337801250899,0.0,0.0,0.0,31.878441575400927,norway
7,2017-12-08,-32.746523226662745,-2797.398616760679,2506.5583816078974,-32.746523226662745,-32.746523226662745,-0.43488287646701024,-0.43488287646701024,-0.43488287646701024,1.1743000394936811,1.1743000394936811,1.1743000394936811,2.687349478840857,2.687349478840857,2.687349478840857,-1.078166562880166,-1.078166562880166,-1.078166562880166,0.0,0.0,0.0,-71.20076674501354,norway
8,2017-12-09,-29.025467644007247,-2955.2147836922254,2547.9822482301993,-29.025467644007247,-29.025467644007247,-0.43488287646701024,-0.43488287646701024,-0.43488287646701024,-2.031375799108983,-2.031375799108983,-2.031375799108983,-0.45515350114645303,-0.45515350114645303,-0.45515350114645303,-1.1413394214955197,-1.1413394214955197,-1.1413394214955197,0.0,0.0,0.0,29.93616488584991,norway
9,2017-12-10,-25.30441206135174,-2564.2819741425624,2601.454284825614,-25.30441206135174,-25.30441206135174,-0.43488287646701024,-0.43488287646701024,-0.43488287646701024,-2.0731377551658317,-2.0731377551658317,-2.0731377551658317,-0.4532939173695346,-0.4532939173695346,-0.4532939173695346,-1.1849609613292866,-1.1849609613292866,-1.1849609613292866,0.0,0.0,0.0,27.1551199553102,norway
